Locus_ID,Description,GO
Os07g0578200,"Major facilitator superfamily, general substrate transporter domain containing protein.",
Os07g0578333,Conserved hypothetical protein.,
Os07g0578800,Pentatricopeptide repeat domain containing protein.,Molecular Function: binding (GO:0005488)
Os07g0579000,Conserved hypothetical protein.,
Os07g0579050,Non-protein coding transcript.,
Os07g0580500,"Transcription factor, Brassinosteroid (BR)-regulated growth response, Feedback inhibition of BR biosynthesis",
Os07g0581000 ,Protein of unknown function DUF250 domain containing protein. ,
Os07g0581100,Similar to ruvB-like 2.,"Molecular Function: DNA helicase activity (GO:0003678), Molecular Function: ATP binding (GO:0005524)"
Os07g0581300 ,"Conserved hypothetical protein., Similar to predicted protein. ",
Os07g0581366,"Zinc finger, C2H2 domain containing protein.","Cellular Component: intracellular (GO:0005622), Molecular Function: nucleic acid binding (GO:0003676), Molecular Function: zinc ion binding (GO:0008270)"
Os07g0581400,Hypothetical gene.,
Os07g0582400,Similar to Proton myo-inositol cotransporter.,"Biological Process: transport (GO:0006810), Biological Process: transmembrane transport (GO:0055085), Cellular Component: membrane (GO:0016020), Cellular Component: integral to membrane (GO:0016021), Molecular Function: transporter activity (GO:0005215), Molecular Function: transmembrane transporter activity (GO:0022857), Molecular Function: substrate-specific transmembrane transporter activity (GO:0022891)"
Os07g0582800,Hypothetical protein.,
Os07g0583600 ,"Chitin-inducible gibberellin-responsive protein., Similar to Chitin-inducible gibberellin-responsive protein 2. ",
Os07g0583700,WRKY transcription factor 78.,"Biological Process: regulation of transcription, DNA-dependent (GO:0006355), Molecular Function: sequence-specific DNA binding transcription factor activity (GO:0003700), Molecular Function: sequence-specific DNA binding (GO:0043565)"
Os07g0584000,Similar to Yippee-like protein CG15309.,
Os07g0584100,Similar to MAP kinase-like protein.,"Biological Process: protein phosphorylation (GO:0006468), Molecular Function: protein kinase activity (GO:0004672), Molecular Function: protein serine/threonine kinase activity (GO:0004674), Molecular Function: protein tyrosine kinase activity (GO:0004713), Molecular Function: ATP binding (GO:0005524), Molecular Function: transferase activity, transferring phosphorus-containing groups (GO:0016772)"
Os07g0584500 ,"Nucleotide-binding, alpha-beta plait domain containing protein. ","Molecular Function: nucleotide binding (GO:0000166), Molecular Function: nucleic acid binding (GO:0003676)"
Os07g0584900,Armadillo-like helical domain containing protein.,"Molecular Function: binding (GO:0005488), Molecular Function: protein binding (GO:0005515)"
Os07g0585000,C2 calcium-dependent membrane targeting domain containing protein.,Molecular Function: protein binding (GO:0005515)
Os07g0585100,Mo25-like domain containing protein.,Molecular Function: binding (GO:0005488)
Os07g0585500,Conserved hypothetical protein.,
Os07g0585600,Similar to N-acetyl-glutamate synthase.,"Biological Process: arginine biosynthetic process (GO:0006526), Biological Process: metabolic process (GO:0008152), Biological Process: cellular amino acid biosynthetic process (GO:0008652), Cellular Component: cytoplasm (GO:0005737), Molecular Function: acetyl-CoA:L-glutamate N-acetyltransferase activity (GO:0004042), Molecular Function: N-acetyltransferase activity (GO:0008080)"
Os07g0585800,Similar to NADH-ubiquinone oxidoreductase 18 kDa subunit (EC 1.6.5.3) (EC 1.6.99.3) (Complex I-18KD) (CI-18KD) (Fragment).,"Biological Process: electron transport chain (GO:0022900), Cellular Component: mitochondrial inner membrane (GO:0005743), Molecular Function: oxidoreductase activity, acting on NADH or NADPH (GO:0016651)"
Os07g0585900,Hypothetical conserved gene.,
Os07g0586000,Similar to ZCW7.,
Os07g0586200 ,"Similar to Esterase precursor (EC 3.1.1.-) (Early nodule-specific protein homolog) (Latex allergen Hev b 13)., Similar to Alpha-L-fucosidase 2. ","Biological Process: lipid metabolic process (GO:0006629), Molecular Function: hydrolase activity, acting on ester bonds (GO:0016788)"
Os07g0586500 ,"Similar to predicted protein., Similar to SUMO activating enzyme 2. ","Molecular Function: nucleotide binding (GO:0000166), Molecular Function: catalytic activity (GO:0003824), Biological Process: protein modification process (GO:0006464), Molecular Function: nucleotide binding (GO:0000166), Molecular Function: catalytic activity (GO:0003824), Molecular Function: ATP binding (GO:0005524), Molecular Function: small protein activating enzyme activity (GO:0008641)"
Os07g0586700,Similar to HRT transcription factor (Fragment).,
Os07g0587400 ,"Similar to Eukaryotic peptide chain release factor subunit 1-3 (eRF1-3) (Eukaryotic release factor 1-3) (Omnipotent suppressor protein 1 homolog 3) (SUP1 homolog 3)., Similar to eukaryotic peptide chain release factor subunit 1-1. ","Biological Process: translational termination (GO:0006415), Cellular Component: cytoplasm (GO:0005737), Molecular Function: translation release factor activity, codon specific (GO:0016149)"
Os07g0588000,Interferon-related developmental regulator domain containing protein.,
Os07g0588100,Pentatricopeptide repeat domain containing protein.,Molecular Function: binding (GO:0005488)
Os07g0588200 ,"Actin-binding FH2 domain containing protein., Similar to Formin-like protein 13. ","Biological Process: cellular component organization (GO:0016043), Biological Process: actin cytoskeleton organization (GO:0030036), Molecular Function: actin binding (GO:0003779), "
Os07g0588800 ,"Protein of unknown function DUF2419 domain containing protein., Similar to predicted protein. ",
Os07g0589000,"Lateral organ boundaries, LOB domain containing protein.",
Os07g0589400 ,Similar to Set1 complex component swd2. ,Molecular Function: protein binding (GO:0005515)
Os07g0589600,Conserved hypothetical protein.,
Os07g0590600,Tetratricopeptide-like helical domain containing protein.,Molecular Function: binding (GO:0005488)
Os07g0590700,Similar to transcriptional regulatory protein algP.,
Os07g0591100,Protein of unknown function DUF620 family protein.,
Os07g0591800,Conserved hypothetical protein.,
Os07g0592000,Gibberellin regulated protein family protein.,
Os07g0593000,"C2H2 transcription factor, Leaf development",Molecular Function: nucleic acid binding (GO:0003676)
Os07g0593400,Similar to golgi transport 1 protein B.,Biological Process: vesicle-mediated transport (GO:0016192)
Os07g0595700,Hypothetical protein.,
Os07g0595750,Similar to predicted protein.,
Os07g0596000,"Zinc finger, DHHC-type domain containing protein.",Molecular Function: zinc ion binding (GO:0008270)
Os07g0596600 ,"Similar to IBS1 (IMPAIRED IN BABA-INDUCED STERILITY 1); ATP binding / kinase/ protein kinase/ protein serine/threonine kinase/ protein tyrosine kinase., Similar to Cdc2MsC protein., Similar to predicted protein. ","Biological Process: protein phosphorylation (GO:0006468), Molecular Function: protein kinase activity (GO:0004672), Molecular Function: protein serine/threonine kinase activity (GO:0004674), Molecular Function: protein tyrosine kinase activity (GO:0004713), Molecular Function: ATP binding (GO:0005524), Molecular Function: transferase activity, transferring phosphorus-containing groups (GO:0016772), Biological Process: protein phosphorylation (GO:0006468), Molecular Function: protein kinase activity (GO:0004672), Molecular Function: protein serine/threonine kinase activity (GO:0004674), Molecular Function: ATP binding (GO:0005524), Molecular Function: transferase activity, transferring phosphorus-containing groups (GO:0016772)"
Os07g0597100,Similar to Saccharopine dehydrogenase.,
Os07g0597200 ,"Protein kinase, core domain containing protein. ","Biological Process: protein phosphorylation (GO:0006468), Molecular Function: protein kinase activity (GO:0004672), Molecular Function: protein serine/threonine kinase activity (GO:0004674), Molecular Function: protein binding (GO:0005515), Molecular Function: ATP binding (GO:0005524), Molecular Function: transferase activity, transferring phosphorus-containing groups (GO:0016772)"
Os07g0597400,Conserved hypothetical protein.,
Os07g0597500,NAD(P)-binding domain containing protein.,"Biological Process: metabolic process (GO:0008152), Biological Process: oxidation-reduction process (GO:0055114), Molecular Function: nucleotide binding (GO:0000166), Molecular Function: oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor (GO:0016616), Molecular Function: NAD binding (GO:0051287)"
Os07g0598000 ,Similar to NADPH HC toxin reductase (Fragment). ,"Biological Process: cellular metabolic process (GO:0044237), Molecular Function: nucleotide binding (GO:0000166), Molecular Function: catalytic activity (GO:0003824), Molecular Function: coenzyme binding (GO:0050662)"
Os07g0598200,Similar to Circadian clock coupling factor ZGT.,
Os07g0598300 ,"Hypothetical conserved gene., DEAD-like helicase, N-terminal domain containing protein. ","Molecular Function: DNA binding (GO:0003677), Molecular Function: ATP binding (GO:0005524), Molecular Function: nucleic acid binding (GO:0003676), Molecular Function: DNA binding (GO:0003677), Molecular Function: helicase activity (GO:0004386), Molecular Function: endonuclease activity (GO:0004519), Molecular Function: ATP binding (GO:0005524)"
Os07g0598500,Pentatricopeptide repeat domain containing protein.,Molecular Function: binding (GO:0005488)
Os07g0598900 ,"Similar to T1K7.11 protein., Hypothetical conserved gene. ",
Os07g0599000,Pentatricopeptide repeat domain containing protein.,
Os07g0599500,Hypothetical protein.,
Os07g0599600,Hypothetical protein.,
Os07g0600300,"Protein of unknown function DUF794, plant family protein.",
Os07g0600400,WD40/YVTN repeat-like domain containing protein.,Molecular Function: protein binding (GO:0005515)
Os07g0600700 ,X8 domain containing protein. ,
Os07g0601000,Similar to NADPH HC toxin reductase (Fragment).,"Biological Process: cellular metabolic process (GO:0044237), Molecular Function: nucleotide binding (GO:0000166), Molecular Function: catalytic activity (GO:0003824), Molecular Function: coenzyme binding (GO:0050662)"
Os07g0601100,Similar to NADPH HC toxin reductase (Fragment).,"Biological Process: cellular metabolic process (GO:0044237), Molecular Function: nucleotide binding (GO:0000166), Molecular Function: catalytic activity (GO:0003824), Molecular Function: coenzyme binding (GO:0050662)"
Os07g0601900,Similar to NADPH HC toxin reductase (Fragment).,"Biological Process: cellular metabolic process (GO:0044237), Molecular Function: nucleotide binding (GO:0000166), Molecular Function: catalytic activity (GO:0003824), Molecular Function: coenzyme binding (GO:0050662)"
Os07g0602100,Conserved hypothetical protein.,
Os07g0602700,"Protein kinase, core domain containing protein.","Biological Process: protein phosphorylation (GO:0006468), Molecular Function: protein kinase activity (GO:0004672), Molecular Function: protein serine/threonine kinase activity (GO:0004674), Molecular Function: protein binding (GO:0005515), Molecular Function: ATP binding (GO:0005524), Molecular Function: transferase activity, transferring phosphorus-containing groups (GO:0016772)"
Os07g0602900 ,"Protein of unknown function DUF1675 domain containing protein., Similar to UPF0737 protein 1. ",
Os07g0603100,"Nucleotide-binding, alpha-beta plait domain containing protein.","Biological Process: transport (GO:0006810), Cellular Component: intracellular (GO:0005622), Molecular Function: nucleotide binding (GO:0000166), Molecular Function: nucleic acid binding (GO:0003676)"
Os07g0603200,WD40 repeat-like domain containing protein.,Molecular Function: protein binding (GO:0005515)
Os07g0603300,"TON1 RECRUIT MOTIF (TRM)-containing protein, Regulation of grain size and shape",
Os07g0603500,Peptidase A1 domain containing protein.,"Biological Process: proteolysis (GO:0006508), Molecular Function: aspartic-type endopeptidase activity (GO:0004190)"
Os07g0603800 ,"TGF-beta receptor, type I/II extracellular region family protein., Similar to peptide transporter PTR2. ","Biological Process: oligopeptide transport (GO:0006857), Cellular Component: membrane (GO:0016020), Molecular Function: transporter activity (GO:0005215)"
Os07g0603900,Pentatricopeptide repeat domain containing protein.,
Os07g0604000 ,Similar to 6-phosphogluconolactonase-like protein. ,"Biological Process: carbohydrate metabolic process (GO:0005975), Biological Process: pentose-phosphate shunt (GO:0006098), Molecular Function: 6-phosphogluconolactonase activity (GO:0017057)"
Os07g0604500 ,"Similar to Mitochondrial import inner membrane translocase subunit Tim17., Hypothetical conserved gene. ",
Os07g0604550,Mitochondrial inner membrane translocase subunit Tim17/Tim22/Tim23/peroxisomal protein PMP24 domain containing protein.,
Os07g0604800,"UDP-arabinopyranose mutase, Pollen wall morphogenesis","Biological Process: cellulose biosynthetic process (GO:0030244), Molecular Function: intramolecular transferase activity (GO:0016866)"
Os07g0605200,"APETALA1 (AP1)/ FRUITFULL (FUL)-like MADS box transcription factor, Specification of inflorescence meristem identity","Biological Process: regulation of transcription, DNA-templated (GO:0006355), Molecular Function: DNA binding (GO:0003677), Molecular Function: sequence-specific DNA binding transcription factor activity (GO:0003700), Molecular Function: protein dimerization activity (GO:0046983), Cellular Component: nucleus (GO:0005634)"
Os07g0605350,Similar to Protein EGG APPARATUS-1.,
Os07g0605800,Similar to STF-1 (Fragment).,Molecular Function: sulfotransferase activity (GO:0008146)
Os07g0606500 ,"Hypothetical conserved gene., Similar to ATP-dependent RNA helicase, eIF-4A family. ","Molecular Function: nucleic acid binding (GO:0003676), Molecular Function: ATP binding (GO:0005524), Molecular Function: ATP-dependent helicase activity (GO:0008026)"
Os07g0606600,Similar to Nuclear factor Y transcription factor subunit B homolog.,"Biological Process: regulation of transcription, DNA-dependent (GO:0006355), Cellular Component: intracellular (GO:0005622), Cellular Component: nucleus (GO:0005634), Molecular Function: DNA binding (GO:0003677), Molecular Function: sequence-specific DNA binding (GO:0043565)"
Os07g0607200,Protein of unknown function DUF751 family protein.,
Os07g0608100 ,Conserved hypothetical protein. ,
Os07g0608200,Similar to CCAAT-binding transcription factor subunit B (CBF-B) (NF-Y protein chain A) (NF-YA) (CAAT-box DNA binding protein subunit A). Splice isoform Short.,"Biological Process: regulation of transcription, DNA-dependent (GO:0006355), Cellular Component: nucleus (GO:0005634), Cellular Component: CCAAT-binding factor complex (GO:0016602), Molecular Function: DNA binding (GO:0003677), Molecular Function: sequence-specific DNA binding transcription factor activity (GO:0003700)"
Os07g0608300 ,Alpha/beta hydrolase fold-1 domain containing protein. ,
Os07g0608450,Non-protein coding transcript.,
Os07g0609000 ,"Stress responsive alpha-beta barrel domain containing protein., Dimeric alpha-beta barrel domain containing protein. ",
Os07g0611400,"Protein kinase C-like, phorbol ester/diacylglycerol binding domain containing protein.","Biological Process: intracellular signal transduction (GO:0035556), Biological Process: oxidation-reduction process (GO:0055114), Molecular Function: protein-disulfide reductase activity (GO:0047134)"
Os07g0611600 ,"DNA-directed RNA polymerase III, subunit Rpc31 domain containing protein., Hypothetical conserved gene. ",
Os07g0613000,RelA/SpoT protein domain containing protein.,Biological Process: guanosine tetraphosphate metabolic process (GO:0015969)
Os07g0613300 ,"Similar to PAUSED., Similar to predicted protein. ","Molecular Function: binding (GO:0005488), "
Os07g0613500,"Similar to Protein kinase APK1B, chloroplast precursor (EC 2.7.1.-).","Biological Process: protein phosphorylation (GO:0006468), Molecular Function: protein kinase activity (GO:0004672), Molecular Function: protein serine/threonine kinase activity (GO:0004674), Molecular Function: ATP binding (GO:0005524), Molecular Function: transferase activity, transferring phosphorus-containing groups (GO:0016772)"
Os07g0613600,Hypothetical conserved gene.,
Os07g0613800,"Protein of unknown function DUF1677, plant domain containing protein.",
Os07g0614000 ,"Six-bladed beta-propeller, TolB-like domain containing protein. ","Biological Process: biosynthetic process (GO:0009058), Molecular Function: strictosidine synthase activity (GO:0016844)"
Os07g0614100,Alpha 1-2 subunit of 20S proteasome.,"Biological Process: ubiquitin-dependent protein catabolic process (GO:0006511), Biological Process: proteolysis involved in cellular protein catabolic process (GO:0051603), Cellular Component: proteasome core complex (GO:0005839), Cellular Component: proteasome core complex, alpha-subunit complex (GO:0019773), Molecular Function: endopeptidase activity (GO:0004175), Molecular Function: threonine-type endopeptidase activity (GO:0004298)"
Os07g0614250,Hypothetical protein.,
Os07g0614300,"Similar to Von Willebrand factor type A domain containing protein, expressed.",Molecular Function: protein binding (GO:0005515)
Os07g0614500 ,"Similar to Elongation factor 1 beta 2., Similar to elongation factor 1-delta 1. ","Biological Process: translational elongation (GO:0006414), Cellular Component: eukaryotic translation elongation factor 1 complex (GO:0005853), Molecular Function: translation elongation factor activity (GO:0003746)"
Os07g0615000,Similar to PPR repeat domain containing protein.,
Os07g0615200,Tify domain containing protein.,Molecular Function: protein binding (GO:0005515)
Os07g0615400 ,"Similar to Oligouridylate binding protein., Hypothetical conserved gene. ","Molecular Function: nucleotide binding (GO:0000166), Molecular Function: nucleic acid binding (GO:0003676)"
Os07g0615800,"DNA-directed RNA polymerase, M/15 kDa  subunit domain containing protein.","Biological Process: transcription, DNA-dependent (GO:0006351), Molecular Function: nucleic acid binding (GO:0003676), Molecular Function: DNA binding (GO:0003677), Molecular Function: DNA-directed RNA polymerase activity (GO:0003899), Molecular Function: zinc ion binding (GO:0008270)"
Os07g0615900 ,"Hypothetical conserved gene., Zinc finger, GATA-type domain containing protein. ","Biological Process: regulation of transcription, DNA-dependent (GO:0006355), Molecular Function: sequence-specific DNA binding transcription factor activity (GO:0003700), Molecular Function: zinc ion binding (GO:0008270), Molecular Function: sequence-specific DNA binding (GO:0043565)"
Os07g0616000 ,"Regulation of panicle erectness, panicle length and grain size, Hypothetical conserved gene. ",
Os07g0616200,Similar to Beta-ketoacyl-ACP synthase.,"Biological Process: fatty acid biosynthetic process (GO:0006633), Biological Process: metabolic process (GO:0008152), Biological Process: biosynthetic process (GO:0009058), Molecular Function: catalytic activity (GO:0003824), Molecular Function: transferase activity, transferring acyl groups other than amino-acyl groups (GO:0016747)"
Os07g0616500,"Similar to (S)-2-hydroxy-acid oxidase, peroxisomal (EC 1.1.3.15) (Glycolate oxidase) (GOX) (Short chain alpha-hydroxy acid oxidase).","Biological Process: metabolic process (GO:0008152), Biological Process: oxidation-reduction process (GO:0055114), Molecular Function: catalytic activity (GO:0003824), Molecular Function: FMN binding (GO:0010181), Molecular Function: oxidoreductase activity (GO:0016491)"
Os07g0616600,Similar to 40S ribosomal protein SA (p40) (Laminin receptor homolog).,
Os07g0616900,"Zinc finger, RING/FYVE/PHD-type domain containing protein.",Molecular Function: metal ion binding (GO:0046872)
Os07g0617100,Plant disease resistance response protein family protein.,
Os07g0617700,Cyclin-like F-box domain containing protein.,Molecular Function: protein binding (GO:0005515)
Os07g0617800,Similar to Alanine aminotransferase.,"Biological Process: biosynthetic process (GO:0009058), Biological Process: 1-aminocyclopropane-1-carboxylate biosynthetic process (GO:0042218), Molecular Function: catalytic activity (GO:0003824), Molecular Function: transferase activity, transferring nitrogenous groups (GO:0016769), Molecular Function: 1-aminocyclopropane-1-carboxylate synthase activity (GO:0016847), Molecular Function: pyridoxal phosphate binding (GO:0030170)"
Os07g0617901,Non-protein coding transcript.,
Os07g0618000,Conserved hypothetical protein.,
Os07g0618400 ,Similar to Leucine-rich repeat transmembrane protein kinase 1 (Fragment). ,"Biological Process: protein phosphorylation (GO:0006468), Molecular Function: protein kinase activity (GO:0004672), Molecular Function: ATP binding (GO:0005524), Molecular Function: transferase activity, transferring phosphorus-containing groups (GO:0016772)"
Os07g0619100,"Protein of unknown function DUF827, plant family protein.",
Os07g0619200 ,"EF hand domain containing protein., Hypothetical gene., Similar to EF hand family protein. ","Molecular Function: calcium ion binding (GO:0005509), "
Os07g0619400,EF-Hand type domain containing protein.,Molecular Function: calcium ion binding (GO:0005509)
Os07g0619500 ,Protein of unknown function DUF1645 family protein. ,
Os07g0619800 ,"Similar to CDPK-related protein kinase., Similar to CDPK-related protein kinase (EC 2.7.1.-) (PK421). ","Molecular Function: ATP binding (GO:0005524), Biological Process: protein phosphorylation (GO:0006468), Molecular Function: protein kinase activity (GO:0004672), Molecular Function: protein serine/threonine kinase activity (GO:0004674), Molecular Function: calcium ion binding (GO:0005509), Molecular Function: ATP binding (GO:0005524), Molecular Function: transferase activity, transferring phosphorus-containing groups (GO:0016772), Biological Process: protein phosphorylation (GO:0006468), Molecular Function: protein kinase activity (GO:0004672), Molecular Function: calcium ion binding (GO:0005509), Molecular Function: ATP binding (GO:0005524), Molecular Function: transferase activity, transferring phosphorus-containing groups (GO:0016772)"
Os07g0620400,Similar to GTP-binding protein-like.,"Biological Process: small GTPase mediated signal transduction (GO:0007264), Cellular Component: intracellular (GO:0005622), Molecular Function: GTP binding (GO:0005525)"
Os07g0621100,Pentatricopeptide repeat domain containing protein.,Molecular Function: binding (GO:0005488)
Os07g0621300 ,Similar to FIP1. ,
Os07g0621600,Non-protein coding transcript.,
Os07g0622000,"Serine/threonine protein kinase, Hyperosmotic stress response, Abscisic acid (ABA)-dependent gene regulation","Biological Process: protein phosphorylation (GO:0006468), Molecular Function: protein kinase activity (GO:0004672), Molecular Function: ATP binding (GO:0005524)"
Os07g0622100,Similar to Ribosomal protein s6 RPS6-2.,"Biological Process: translation (GO:0006412), Cellular Component: intracellular (GO:0005622), Cellular Component: ribosome (GO:0005840), Molecular Function: structural constituent of ribosome (GO:0003735)"
Os07g0622200,"3-Deoxy-D-arabino-heptulosonate 7-phosphate synthase, Chorismate biosynthesis","Biological Process: aromatic amino acid family biosynthetic process (GO:0009073), Molecular Function: 3-deoxy-7-phosphoheptulonate synthase activity (GO:0003849)"
Os07g0622700,Alpha/beta hydrolase fold-1 domain containing protein.,Molecular Function: catalytic activity (GO:0003824)
Os07g0622900,"Endoplasmic reticulum (ER) membrane protein, Early tapetum development and meiosis","Biological Process: signal peptide processing (GO:0006465), Molecular Function: peptidase activity (GO:0008233), Cellular Component: signal peptidase complex (GO:0005787), Cellular Component: integral component of membrane (GO:0016021)"
Os07g0623200 ,"ATPase, P-type, K/Mg/Cd/Cu/Zn/Na/Ca/Na/H-transporter domain containing protein. ","Biological Process: metal ion transport (GO:0030001), Molecular Function: metal ion binding (GO:0046872)"
Os07g0623300,Similar to Splicing factor SC35.,"Molecular Function: nucleotide binding (GO:0000166), Molecular Function: nucleic acid binding (GO:0003676)"
Os07g0623600,"Similar to mRNA, clone: RTFL01-43-H20.",
Os07g0624100,"Similar to cDNA clone:J033024N05, full insert sequence.","Molecular Function: nucleic acid binding (GO:0003676), Molecular Function: protein dimerization activity (GO:0046983)"
Os07g0624700,UMP/CMP kinase a (EC 2.7.1.48).,"Biological Process: nucleobase-containing compound metabolic process (GO:0006139), Biological Process: nucleotide phosphorylation (GO:0046939), Molecular Function: ATP binding (GO:0005524), Molecular Function: phosphotransferase activity, phosphate group as acceptor (GO:0016776), Molecular Function: nucleotide kinase activity (GO:0019201), Molecular Function: nucleobase-containing compound kinase activity (GO:0019205)"
Os07g0625400,SKP1 component domain containing protein.,Biological Process: ubiquitin-dependent protein catabolic process (GO:0006511)
Os07g0625800 ,Plant lipid transfer protein/Par allergen family protein. ,"Biological Process: lipid transport (GO:0006869), Molecular Function: lipid binding (GO:0008289)"
Os07g0626100,Similar to 50S ribosomal protein L7/L12.,"Biological Process: translation (GO:0006412), Cellular Component: intracellular (GO:0005622), Cellular Component: ribosome (GO:0005840), Molecular Function: structural constituent of ribosome (GO:0003735)"
Os07g0626200 ,"DNA-binding SAP domain containing protein., Hypothetical conserved gene. ","Molecular Function: nucleic acid binding (GO:0003676), "
Os07g0626300 ,"UV radiation resistance protein/autophagy-related protein 14 domain containing protein., Similar to predicted protein. ",Biological Process: positive regulation of autophagy (GO:0010508)
Os07g0626400,Similar to Chaperone protein dnaJ.,"Biological Process: protein folding (GO:0006457), Molecular Function: heat shock protein binding (GO:0031072), Molecular Function: unfolded protein binding (GO:0051082)"
Os07g0626500 ,"Protein kinase, core domain containing protein., Similar to predicted protein. ","Biological Process: protein phosphorylation (GO:0006468), Molecular Function: protein kinase activity (GO:0004672), Molecular Function: protein binding (GO:0005515), Molecular Function: ATP binding (GO:0005524), Molecular Function: transferase activity, transferring phosphorus-containing groups (GO:0016772), "
Os07g0626700,Similar to Peroxidase (EC 1.11.1.7).,"Biological Process: response to oxidative stress (GO:0006979), Biological Process: oxidation-reduction process (GO:0055114), Molecular Function: peroxidase activity (GO:0004601), Molecular Function: heme binding (GO:0020037)"
Os07g0626800,Amine oxidase domain containing protein.,"Biological Process: oxidation-reduction process (GO:0055114), Molecular Function: oxidoreductase activity (GO:0016491)"
Os07g0626900,Similar to RKP (Related to KPC1); protein binding / zinc ion binding.,"Molecular Function: protein binding (GO:0005515), Molecular Function: zinc ion binding (GO:0008270)"
Os07g0627000,"Plastidial disproportionating enzyme1, alpha-1, 4-D-glucanotransferase, Storage starch synthesis in rice endosperm","Biological Process: carbohydrate metabolic process (GO:0005975), Molecular Function: 4-alpha-glucanotransferase activity (GO:0004134)"
Os07g0627300,Similar to Myb-related protein B (B-Myb).,"Biological Process: regulation of transcription, DNA-dependent (GO:0006355), Molecular Function: DNA binding (GO:0003677), Molecular Function: protein binding (GO:0005515)"
Os07g0627400,Conserved hypothetical protein.,
Os07g0627700 ,"Fatty acid hydroxylase domain containing protein., Similar to Protein SUR2. ","Biological Process: fatty acid biosynthetic process (GO:0006633), Biological Process: oxidation-reduction process (GO:0055114), Molecular Function: iron ion binding (GO:0005506), Molecular Function: oxidoreductase activity (GO:0016491), "
Os07g0627800,"Similar to DRG-like OBG family GTpase fused to an RNA binding domain TGS domain, Fun11p.","Cellular Component: intracellular (GO:0005622), Molecular Function: GTP binding (GO:0005525)"
Os07g0628500 ,Basic helix-loop-helix dimerisation region bHLH domain containing protein. ,
Os07g0628700,Similar to Receptor protein kinase.,"Biological Process: protein phosphorylation (GO:0006468), Molecular Function: protein kinase activity (GO:0004672), Molecular Function: protein serine/threonine kinase activity (GO:0004674), Molecular Function: ATP binding (GO:0005524), Molecular Function: transferase activity, transferring phosphorus-containing groups (GO:0016772)"
Os07g0628900,Similar to KI domain interacting kinase 1.,"Biological Process: protein phosphorylation (GO:0006468), Molecular Function: protein kinase activity (GO:0004672), Molecular Function: protein serine/threonine kinase activity (GO:0004674), Molecular Function: ATP binding (GO:0005524), Molecular Function: transferase activity, transferring phosphorus-containing groups (GO:0016772)"
Os07g0629000,Similar to P-type R2R3 Myb protein (Fragment).,"Biological Process: regulation of transcription, DNA-dependent (GO:0006355), Molecular Function: DNA binding (GO:0003677), Molecular Function: protein binding (GO:0005515)"
Os07g0629500,"Similar to cDNA clone:002-114-B06, full insert sequence.",
Os07g0630800 ,Similar to Nodule-enhanced malate dehydrogenase. ,"Biological Process: carbohydrate metabolic process (GO:0005975), Biological Process: malate metabolic process (GO:0006108), Biological Process: oxidation-reduction process (GO:0055114), Molecular Function: nucleotide binding (GO:0000166), Molecular Function: catalytic activity (GO:0003824), Molecular Function: oxidoreductase activity (GO:0016491), Molecular Function: malate dehydrogenase activity (GO:0016615), Molecular Function: oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor (GO:0016616), Molecular Function: L-malate dehydrogenase activity (GO:0030060)"
Os07g0630900 ,"Similar to cDNA clone:J013000F18, full insert sequence., CSLA7 (Fragment). ",
Os07g0631200,"Zinc finger, RING/FYVE/PHD-type domain containing protein.","Molecular Function: protein binding (GO:0005515), Molecular Function: zinc ion binding (GO:0008270)"
Os07g0631500,Similar to Mov34/MPN/PAD-1 family protein.,
Os07g0632000,Similar to Xylanase inhibitor protein I precursor.,"Biological Process: carbohydrate metabolic process (GO:0005975), Molecular Function: catalytic activity (GO:0003824), Molecular Function: hydrolase activity, hydrolyzing O-glycosyl compounds (GO:0004553), Molecular Function: cation binding (GO:0043169)"
Os07g0633200 ,"Similar to SC35-like splicing factor SCL30a, 30a kD. ","Molecular Function: nucleotide binding (GO:0000166), Molecular Function: nucleic acid binding (GO:0003676)"
Os07g0633600 ,"Similar to SUB1; calcium ion binding., Similar to SUB1 (short under blue light 1). ",
Os07g0633800,Similar to BNS (BONSAI).,
Os07g0634300,Similar to Low temperature viability protein.,
Os07g0634400,"HAD-superfamily hydrolase, subfamily IA, variant 3 domain containing protein.","Biological Process: metabolic process (GO:0008152), Molecular Function: catalytic activity (GO:0003824), Molecular Function: hydrolase activity (GO:0016787)"
Os07g0634600 ,"Similar to Pectin acetylesterase (Fragment)., Similar to predicted protein. ",
Os07g0634900,Hypothetical conserved gene.,"Biological Process: regulation of transcription, DNA-dependent (GO:0006355), Molecular Function: DNA binding (GO:0003677), Molecular Function: protein binding (GO:0005515)"
Os07g0635300,Similar to Cytochrome P450.,"Biological Process: oxidation-reduction process (GO:0055114), Molecular Function: iron ion binding (GO:0005506), Molecular Function: electron carrier activity (GO:0009055), Molecular Function: oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen (GO:0016705), Molecular Function: heme binding (GO:0020037)"
Os07g0635700,Cytochrome P450 family protein.,"Biological Process: oxidation-reduction process (GO:0055114), Molecular Function: iron ion binding (GO:0005506), Molecular Function: electron carrier activity (GO:0009055), Molecular Function: oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen (GO:0016705), Molecular Function: heme binding (GO:0020037)"
