Locus_ID,Description,GO,,
Os12g0197100,Pre-ATP-grasp fold domain containing protein.,"Biological Process: purine base biosynthetic process (GO:0009113), Molecular Function: catalytic activity (GO:0003824), Molecular Function: phosphoribosylamine-glycine ligase activity (GO:0004637), Molecular Function: ATP binding (GO:0005524), Molecular Function: ligase activity (GO:0016874), Molecular Function: metal ion binding (GO:0046872)",,
Os12g0197200 ,Conserved hypothetical protein. ,,,
Os12g0197400,Similar to chloroplast outer envelope protein 86.,Molecular Function: GTP binding (GO:0005525),,
Os12g0197500 ,"Homolog of Arabidopsis suppressor of gene silencing 3, Cofactor of RNA-dependent RNA polymerase, Defense response to virus, Similar to Protein SUPPRESSOR OF GENE SILENCING 3 homolog. ","Biological Process: gene silencing by RNA (GO:0031047), ",,
Os12g0197600,Hypothetical gene.,,,
Os12g0197700,"Region of unknown function, putative Zinc finger, XS and XH domain containing protein.",,,
Os12g0198000,Protein of unknown function DUF538 family protein.,,,
Os12g0198200,Similar to Protein phosphatase 2C.,Molecular Function: catalytic activity (GO:0003824),,
Os12g0198400,Conserved hypothetical protein.,,,
Os12g0198500,Conserved hypothetical protein.,,,
Os12g0203200,Conserved hypothetical protein.,,,
Os12g0203900,Hypothetical gene.,,,
Os12g0204100,"Similar to Major intrinsic protein, expressed.","Biological Process: transport (GO:0006810), Cellular Component: membrane (GO:0016020), Molecular Function: transporter activity (GO:0005215)",,
Os12g0204500,"Protein of unknown function DUF579, plant family protein.",,,
Os12g0204600,NB-ARC domain containing protein.,"Biological Process: defense response (GO:0006952), Molecular Function: ADP binding (GO:0043531)",,
Os12g0204800,Disease resistance protein domain containing protein.,"Biological Process: defense response (GO:0006952), Molecular Function: ADP binding (GO:0043531)",,
Os12g0205500,NB-ARC domain containing protein.,"Biological Process: defense response (GO:0006952), Molecular Function: ADP binding (GO:0043531)",,
Os12g0207200,Myb/SANT-like domain domain containing protein.,,,
Os12g0207300,Similar to Clathrin coat assembly protein AP17 (Clathrin coat associated protein AP17) (Plasma membrane adaptor AP-2 17 kDa protein) (HA2 17 kDa subunit) (Clathrin assembly protein 2 small chain).,"Biological Process: transport (GO:0006810), Biological Process: protein transport (GO:0015031), Molecular Function: protein transporter activity (GO:0008565)",,
Os12g0209100,Similar to predicted protein.,,,
Os12g0209300,"Similar to ATPase, AAA family protein.","Biological Process: DNA replication (GO:0006260), Cellular Component: DNA polymerase III complex (GO:0009360), Molecular Function: DNA binding (GO:0003677), Molecular Function: DNA-directed DNA polymerase activity (GO:0003887), Molecular Function: ATP binding (GO:0005524)",,
Os12g0210300,Similar to Glutathione S-transferase GST 18 (EC 2.5.1.18).,"Biological Process: aromatic amino acid family metabolic process (GO:0009072), Cellular Component: cytoplasm (GO:0005737), Molecular Function: catalytic activity (GO:0003824), Molecular Function: protein binding (GO:0005515)",,
Os12g0210400,"Protein kinase, core domain containing protein.","Biological Process: protein phosphorylation (GO:0006468), Molecular Function: protein kinase activity (GO:0004672), Molecular Function: protein serine/threonine kinase activity (GO:0004674), Molecular Function: protein binding (GO:0005515), Molecular Function: ATP binding (GO:0005524), Molecular Function: transferase activity, transferring phosphorus-containing groups (GO:0016772)",,
Os12g0210800 ,"Similar to 3-deoxy-D-manno-2-octulosonic acid-8-phosphate (EC 4.1.2.16) (Fragment)., Similar to 2-dehydro-3-deoxyphosphooctonate aldolase. ","Biological Process: metabolic process (GO:0008152), Biological Process: biosynthetic process (GO:0009058), Cellular Component: cytoplasm (GO:0005737), Molecular Function: catalytic activity (GO:0003824), Molecular Function: 3-deoxy-8-phosphooctulonate synthase activity (GO:0008676), ",,
Os12g0215950,"Similar to Leucine Rich Repeat family protein, expressed.",Molecular Function: protein binding (GO:0005515),,
Os12g0216500,Hypothetical gene.,,,
Os12g0218800,Hypothetical protein.,,,
Os12g0222900,"Leucine-rich repeat, N-terminal domain containing protein.",Molecular Function: protein binding (GO:0005515),,
Os12g0223300 ,"Similar to Outer membrane cytochrome b(5) (Fragment)., Similar to Cytochrome b5. ",Molecular Function: heme binding (GO:0020037),,
Os12g0224000,Similar to Diacylglycerol kinase 1 (EC 2.7.1.107) (Diglyceride kinase 1) (DGK 1) (DAG kinase 1).,"Biological Process: activation of protein kinase C activity by G-protein coupled receptor protein signaling pathway (GO:0007205), Molecular Function: diacylglycerol kinase activity (GO:0004143)",,
Os12g0224500,"Zinc finger, PHD-type domain containing protein.","Molecular Function: protein binding (GO:0005515), Molecular Function: zinc ion binding (GO:0008270)",,
Os12g0225150,Hypothetical protein.,,,
Os12g0225200,Conserved hypothetical protein.,,,
Os12g0225900,Allyl alcohol dehydrogenase.,"Biological Process: oxidation-reduction process (GO:0055114), Molecular Function: nucleotide binding (GO:0000166), Molecular Function: zinc ion binding (GO:0008270), Molecular Function: oxidoreductase activity (GO:0016491)",,
Os12g0227400,Allyl alcohol dehydrogenase.,"Biological Process: oxidation-reduction process (GO:0055114), Molecular Function: nucleotide binding (GO:0000166), Molecular Function: zinc ion binding (GO:0008270), Molecular Function: oxidoreductase activity (GO:0016491)",,
Os12g0228400 ,"Similar to cDNA clone:J033003J10, full insert sequence. ",,,
Os12g0228500,Hypothetical conserved gene.,,,
Os12g0228900,"Similar to Leucine Rich Repeat family protein, expressed.",,,
Os12g0229100,Hypothetical conserved gene.,,,
Os12g0230100,"Similar to ATP-dependent Clp protease ATP-binding subunit clpA homolog, chloroplast precursor (Fragment).","Biological Process: nucleotide-excision repair (GO:0006289), Biological Process: protein metabolic process (GO:0019538), Molecular Function: nucleotide binding (GO:0000166), Molecular Function: DNA binding (GO:0003677), Molecular Function: nuclease activity (GO:0004518), Molecular Function: ATP binding (GO:0005524), Molecular Function: nucleoside-triphosphatase activity (GO:0017111)",,
Os12g0230600,Protein of unknown function DUF1685 family protein.,,,
Os12g0233300,Histidine triad (HIT) protein family protein.,Molecular Function: catalytic activity (GO:0003824),,
Os12g0235200,Conserved hypothetical protein.,,,
Os12g0235300,Conserved hypothetical protein.,,,
Os12g0235600,Conserved hypothetical protein.,,,
Os12g0236100,Hypothetical conserved gene.,,,
Os12g0236225,Conserved hypothetical protein.,,,
Os12g0236400,Adenylate kinase A (EC 2.7.4.3) (ATP-AMP transphosphorylase).,"Biological Process: nucleobase-containing compound metabolic process (GO:0006139), Biological Process: nucleotide phosphorylation (GO:0046939), Molecular Function: adenylate kinase activity (GO:0004017), Molecular Function: ATP binding (GO:0005524), Molecular Function: phosphotransferase activity, phosphate group as acceptor (GO:0016776), Molecular Function: nucleotide kinase activity (GO:0019201), Molecular Function: nucleobase-containing compound kinase activity (GO:0019205)",,
Os12g0238000,"SANT domain, DNA binding domain containing protein.","Biological Process: regulation of transcription, DNA-dependent (GO:0006355), Molecular Function: DNA binding (GO:0003677), Molecular Function: protein binding (GO:0005515)",,
Os12g0238900,Similar to HGA6.,"Molecular Function: transferase activity, transferring glycosyl groups (GO:0016757)",,
Os12g0239000,Conserved hypothetical protein.,,,
Os12g0239300 ,"Conserved hypothetical protein., Similar to Mov34/MPN/PAD-1 family protein. ",,,
Os12g0239900,Similar to PDR-like ABC transporter.,,,
Os12g0240000,Conserved hypothetical protein.,,,
Os12g0242975,Non-protein coding transcript.,,,
Os12g0244000,Conserved hypothetical protein.,,,
Os12g0244100 ,"Similar to Heat shock 70 protein., Similar to stromal 70 kDa heat shock-related protein. ","Biological Process: protein folding (GO:0006457), Molecular Function: ATP binding (GO:0005524), Molecular Function: unfolded protein binding (GO:0051082), Molecular Function: ATP binding (GO:0005524)",,
Os12g0245000 ,"Conserved hypothetical protein., Hypothetical conserved gene. ",,,
Os12g0245100,Conserved hypothetical protein.,,,
Os12g0249900,"Protein kinase, core domain containing protein.","Biological Process: protein phosphorylation (GO:0006468), Molecular Function: protein kinase activity (GO:0004672), Molecular Function: protein serine/threonine kinase activity (GO:0004674), Molecular Function: ATP binding (GO:0005524), Molecular Function: transferase activity, transferring phosphorus-containing groups (GO:0016772)",,
Os12g0250900,BRCT domain containing protein.,Cellular Component: intracellular (GO:0005622),,
Os12g0254700,Similar to H-ATPase.,,,
Os12g0255200 ,"Staphylococcal nuclease (SNase-like), OB-fold domain containing protein., Conserved hypothetical protein. ","Molecular Function: nucleic acid binding (GO:0003676), Molecular Function: hydrolase activity, acting on ester bonds (GO:0016788), ",,
Os12g0256000,Alpha/beta hydrolase fold-3 domain containing protein.,"Biological Process: metabolic process (GO:0008152), Molecular Function: hydrolase activity (GO:0016787)",,
Os12g0256400,Conserved hypothetical protein.,,,
Os12g0256600,Conserved hypothetical protein.,,,
Os12g0256900,Pentatricopeptide repeat domain containing protein.,Molecular Function: binding (GO:0005488),,
Os12g0257000 ,"Serine carboxypeptidase I precursor (EC 3.4.16.5) (Carboxypeptidase C)., Similar to Serine carboxypeptidase 1. ","Biological Process: proteolysis (GO:0006508), Molecular Function: serine-type carboxypeptidase activity (GO:0004185)",,
Os12g0257450,Non-protein coding transcript.,,,
Os12g0257500 ,Conserved hypothetical protein. ,,,
Os12g0257600,Similar to Laccase-25.,"Biological Process: lignin catabolic process (GO:0046274), Biological Process: oxidation-reduction process (GO:0055114), Cellular Component: apoplast (GO:0048046), Molecular Function: copper ion binding (GO:0005507), Molecular Function: laccase activity (GO:0008471), Molecular Function: oxidoreductase activity (GO:0016491)",,
Os12g0259800,Similar to Laccase-25.,"Biological Process: lignin catabolic process (GO:0046274), Biological Process: oxidation-reduction process (GO:0055114), Cellular Component: apoplast (GO:0048046), Molecular Function: copper ion binding (GO:0005507), Molecular Function: laccase activity (GO:0008471), Molecular Function: oxidoreductase activity (GO:0016491)",,
Os12g0260500,"Similar to Oxidoreductase, short chain dehydrogenase/reductase family protein, expressed.","Biological Process: metabolic process (GO:0008152), Molecular Function: nucleotide binding (GO:0000166), Molecular Function: oxidoreductase activity (GO:0016491)",,
Os12g0262100,HAT dimerisation domain containing protein.,"Molecular Function: nucleic acid binding (GO:0003676), Molecular Function: protein dimerization activity (GO:0046983)",,
Os12g0263000,Similar to Glutathione synthase.,"Biological Process: glutathione biosynthetic process (GO:0006750), Molecular Function: catalytic activity (GO:0003824), Molecular Function: glutathione synthase activity (GO:0004363), Molecular Function: ATP binding (GO:0005524), Molecular Function: ligase activity (GO:0016874)",,
Os12g0263050,Similar to Glutathione synthase.,,,
Os12g0263100,"Similar to Zinc finger, DHHC domain containing 4.",Molecular Function: zinc ion binding (GO:0008270),,
Os12g0263200,Pinoresinol-lariciresinol reductase TH2.,Molecular Function: nucleotide binding (GO:0000166),,
Os12g0263600,Similar to Isoflavone reductase-like protein 1.,Molecular Function: nucleotide binding (GO:0000166),,
Os12g0265100 ,"Similar to Pinoresinol-lariciresinol reductase TH2., Similar to cDNA, clone: J065219F05, full insert sequence. ","Molecular Function: nucleotide binding (GO:0000166), ",,
Os12g0266000 ,"Similar to Glutaredoxin-C8., Non-protein coding transcript., Hypothetical gene. ",,,
Os12g0267200,Cyclopropane-fatty-acyl-phospholipid synthase domain containing protein.,Biological Process: lipid biosynthetic process (GO:0008610),,
Os12g0267700,Hypothetical conserved gene.,,,
Os12g0267900,"Zinc finger, RING/FYVE/PHD-type domain containing protein.","Molecular Function: protein binding (GO:0005515), Molecular Function: zinc ion binding (GO:0008270)",,
Os12g0268000,Similar to Cytochrome P450 71A1 (EC 1.14.-.-) (CYPLXXIA1) (ARP-2).,"Biological Process: oxidation-reduction process (GO:0055114), Molecular Function: iron ion binding (GO:0005506), Molecular Function: electron carrier activity (GO:0009055), Molecular Function: oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen (GO:0016705), Molecular Function: heme binding (GO:0020037)",,
Os12g0270100 ,"Similar to Oxygen-independent coproporphyrinogen-like protein., Similar to oxygen-independent coproporphyrinogen III oxidase-like protein sll1917. ","Biological Process: porphyrin-containing compound biosynthetic process (GO:0006779), Biological Process: oxidation-reduction process (GO:0055114), Cellular Component: cytoplasm (GO:0005737), Molecular Function: catalytic activity (GO:0003824), Molecular Function: coproporphyrinogen oxidase activity (GO:0004109), Molecular Function: iron-sulfur cluster binding (GO:0051536), Biological Process: porphyrin-containing compound biosynthetic process (GO:0006779), Biological Process: oxidation-reduction process (GO:0055114), Cellular Component: cytoplasm (GO:0005737), Molecular Function: coproporphyrinogen oxidase activity (GO:0004109)",,
Os12g0270300 ,"NB-ARC domain containing protein., Hypothetical conserved gene. ","Biological Process: defense response (GO:0006952), Molecular Function: ADP binding (GO:0043531)",,
Os12g0270900 ,"Sulfotransferase family protein., Similar to cDNA clone:J023121F12, full insert sequence. ",Molecular Function: sulfotransferase activity (GO:0008146),,
Os12g0272500,Non-protein coding transcript.,,,
Os12g0272800,"Typical coiled-coil nucleotide binding leucine rich repeat (CC-NB-LRR) type protein, Defense response",Molecular Function: ADP binding (GO:0043531),,
Os12g0273300,Similar to NB-ARC domain containing protein.,"Biological Process: defense response (GO:0006952), Molecular Function: ADP binding (GO:0043531)",,
Os12g0273700,Conserved hypothetical protein.,,,
Os12g0274700 ,"Similar to Petunia ribulose 1, 5-bisphosphate carboxylase small subunit mRNA (clone pSSU 51), partial cds. (Fragment). ",,,
Os12g0276100,Conserved hypothetical protein.,,,
Os12g0277000 ,"Zinc finger, RING/FYVE/PHD-type domain containing protein., Hypothetical conserved gene. ","Biological Process: protein ubiquitination (GO:0016567), Cellular Component: ubiquitin ligase complex (GO:0000151), Molecular Function: ubiquitin-protein ligase activity (GO:0004842), Molecular Function: binding (GO:0005488), Molecular Function: protein binding (GO:0005515), Molecular Function: binding (GO:0005488), Molecular Function: protein binding (GO:0005515)",,
Os12g0277500 ,"Plastid chaperonin 60 alpha subunit, Folding of Rubisco large subunit (rbcL), Seedling development, Similar to RuBisCO large subunit-binding protein subunit alpha, chloroplastic (Fragment). ","Biological Process: protein folding (GO:0006457), Biological Process: protein refolding (GO:0042026), Molecular Function: ATP binding (GO:0005524), Cellular Component: cytoplasm (GO:0005737), Biological Process: protein folding (GO:0006457), Biological Process: protein refolding (GO:0042026), Biological Process: cellular protein metabolic process (GO:0044267), Cellular Component: cytoplasm (GO:0005737), Molecular Function: ATP binding (GO:0005524)",,
Os12g0278700 ,"Similar to cystinosin., Similar to Cystinosin homolog. ",,,
Os12g0278900,"Peptidase C1A, papain family protein.",Molecular Function: cysteine-type peptidase activity (GO:0008234),,
Os12g0281300 ,"Pi-ta protein belonging to the nucleotide-binding site leucine-rich repeat (NBS-LRR) class, Rice blast resistance (Nipponbare: susceptible) ","Molecular Function: ADP binding (GO:0043531), Biological Process: cell redox homeostasis (GO:0045454), Molecular Function: ADP binding (GO:0043531)",,
Os12g0281600 ,"NB-ARC domain containing protein., Hypothetical conserved gene. ","Biological Process: defense response (GO:0006952), Molecular Function: ADP binding (GO:0043531)",,
Os12g0283100,Nucleotidyltransferase domain containing protein.,Molecular Function: nucleotidyltransferase activity (GO:0016779),,
Os12g0283400,Pectinesterase inhibitor domain containing protein.,"Molecular Function: enzyme inhibitor activity (GO:0004857), Molecular Function: pectinesterase activity (GO:0030599)",,
Os12g0283800 ,"Protein of unknown function DUF3411 domain containing protein., Similar to predicted protein. ",,,
Os12g0283900 ,"Heat shock protein DnaJ, conserved site domain containing protein. ",Molecular Function: binding (GO:0005488),,
Os12g0284000 ,"Regulator of chromosome condensation, RCC1 domain containing protein., Similar to predicted protein., Hypothetical conserved gene. ",,,
Os12g0288400,Similar to Ubiquitin ligase protein mib (EC 6.3.2.-) (Mind bomb protein).,"Molecular Function: protein binding (GO:0005515), Molecular Function: zinc ion binding (GO:0008270)",,
Os12g0288600,Conserved hypothetical protein.,,,
Os12g0289600,Conserved hypothetical protein.,,,
Os12g0290100 ,Similar to Protein kinase. ,"Biological Process: protein phosphorylation (GO:0006468), Molecular Function: protein kinase activity (GO:0004672), Molecular Function: protein serine/threonine kinase activity (GO:0004674), Molecular Function: protein tyrosine kinase activity (GO:0004713), Molecular Function: ATP binding (GO:0005524), Molecular Function: transferase activity, transferring phosphorus-containing groups (GO:0016772), Biological Process: protein phosphorylation (GO:0006468), Molecular Function: protein kinase activity (GO:0004672), Molecular Function: protein serine/threonine kinase activity (GO:0004674), Molecular Function: ATP binding (GO:0005524), Molecular Function: transferase activity, transferring phosphorus-containing groups (GO:0016772)",,
Os12g0290150,"Similar to QS (QUINOLINATE SYNTHASE); 4 iron, 4 sulfur cluster binding / enzyme activator/ protein homodimerization/ quinolinate synthetase A.","Biological Process: NAD biosynthetic process (GO:0009435), Molecular Function: quinolinate synthetase A activity (GO:0008987)",,
Os12g0291100 ,"Similar to Petunia ribulose 1, 5-bisphosphate carboxylase small subunit mRNA (clone pSSU 51), partial cds. (Fragment)., Similar to Ribulose bisphosphate carboxylase small chain., Non-protein coding transcript. ",,,
Os12g0291400,"Similar to Petunia ribulose 1, 5-bisphosphate carboxylase small subunit mRNA (clone pSSU 51), partial cds. (Fragment).",,,
Os12g0292400,"Similar to Petunia ribulose 1, 5-bisphosphate carboxylase small subunit mRNA (clone pSSU 51), partial cds. (Fragment).",,,
Os12g0293000 ,"Hypothetical conserved gene., Conserved hypothetical protein. ",,,
Os12g0294100,WD40 repeat-like domain containing protein.,Molecular Function: protein binding (GO:0005515),,
Os12g0299150,Conserved hypothetical protein.,,,
Os12g0299300 ,Conserved hypothetical protein. ,,,
Os12g0403800 ,"Similar to Exosome complex exonuclease RRP42., Exoribonuclease domain containing protein. ",", Biological Process: RNA processing (GO:0006396), Molecular Function: RNA binding (GO:0003723)",,
Os12g0404400,Non-protein coding transcript.,,,
Os12g0405200,Similar to Conserved NnrU/NnuR ortholog membrane enzyme.,,,
Os12g0405300,Conserved hypothetical protein.,,,
Os12g0405400 ,Conserved hypothetical protein. ,,,
Os12g0405700 ,Similar to Wound-induced basic protein. ,,,
Os12g0406200,Similar to 40S ribosomal protein S3a (CYC07 protein).,"Biological Process: translation (GO:0006412), Cellular Component: intracellular (GO:0005622), Cellular Component: ribosome (GO:0005840), Molecular Function: structural constituent of ribosome (GO:0003735)",,
Os12g0409000,Similar to Serine hydroxymethyltransferase.,"Biological Process: glycine metabolic process (GO:0006544), Biological Process: L-serine metabolic process (GO:0006563), Molecular Function: catalytic activity (GO:0003824), Molecular Function: glycine hydroxymethyltransferase activity (GO:0004372), Molecular Function: pyridoxal phosphate binding (GO:0030170)",,
Os12g0409800,Conserved hypothetical protein.,,,
Os12g0410050,Hypothetical conserved gene.,,,
Os12g0410150,Hypothetical gene.,,,
Os12g0410200,Conserved hypothetical protein.,,,
Os12g0414500,"Aminoacyl-tRNA synthetase, class II (D, K and N)-like domain containing protein.","Biological Process: tRNA aminoacylation for protein translation (GO:0006418), Biological Process: asparaginyl-tRNA aminoacylation (GO:0006421), Cellular Component: cytoplasm (GO:0005737), Molecular Function: nucleotide binding (GO:0000166), Molecular Function: aminoacyl-tRNA ligase activity (GO:0004812), Molecular Function: asparagine-tRNA ligase activity (GO:0004816), Molecular Function: ATP binding (GO:0005524)",,
Os12g0416800,Conserved hypothetical protein.,,,
Os12g0417100,Hypothetical conserved gene.,,,
Os12g0420300,Similar to tyrosine specific protein phosphatase family protein.,Molecular Function: protein tyrosine phosphatase activity (GO:0004725),,
Os12g0420400 ,"Similar to Photosystem I reaction center subunit XI, chloroplast precursor (PSI- L) (PSI subunit V)., Similar to Photosystem I reaction center subunit XI, chloroplastic. ","Biological Process: photosynthesis (GO:0015979), Cellular Component: photosystem I (GO:0009522), Cellular Component: photosystem I reaction center (GO:0009538), ",,
Os12g0421000,Similar to Barley stem rust resistance protein.,"Biological Process: metal ion transport (GO:0030001), Molecular Function: metal ion binding (GO:0046872)",,
Os12g0425500,Hypothetical conserved gene.,,,
Os12g0425600,"Protein of unknown function DUF246, plant family protein.",,,
Os12g0425800,Hypothetical protein.,,,
Os12g0428000,Similar to senescence-associated protein DIN1.,,,
Os12g0428200,Autophagy-related protein 1010 domain containing protein.,,,
Os12g0429200,Similar to Relative to SR12 protein (Fragment).,"Biological Process: carbohydrate metabolic process (GO:0005975), Molecular Function: catalytic activity (GO:0003824), Molecular Function: hydrolase activity, hydrolyzing O-glycosyl compounds (GO:0004553), Molecular Function: sugar binding (GO:0005529), Molecular Function: cation binding (GO:0043169)",,
Os12g0431300,"Six-bladed beta-propeller, TolB-like domain containing protein.",Molecular Function: protein binding (GO:0005515),,
Os12g0432600,"Zinc finger, RING/FYVE/PHD-type domain containing protein.","Molecular Function: protein binding (GO:0005515), Molecular Function: zinc ion binding (GO:0008270)",,
Os12g0433200,"Zinc finger, CCHC-type domain containing protein.","Molecular Function: nucleic acid binding (GO:0003676), Molecular Function: zinc ion binding (GO:0008270)",,
Os12g0433500,Similar to FU (FUSED), protein serine/threonine kinase.,"Biological Process: protein phosphorylation (GO:0006468), Molecular Function: protein kinase activity (GO:0004672), Molecular Function: protein serine/threonine kinase activity (GO:0004674), Molecular Function: binding (GO:0005488), Molecular Function: protein binding (GO:0005515), Molecular Function: ATP binding (GO:0005524), Molecular Function: transferase activity, transferring phosphorus-containing groups (GO:0016772)",
Os12g0433700,Lg106-like family protein.,,,
Os12g0437800,Similar to MPI.,"Biological Process: response to wounding (GO:0009611), Molecular Function: serine-type endopeptidase inhibitor activity (GO:0004867)",,
Os12g0438000,Similar to Histone H2A.,,,
Os12g0438400 ,"Hypothetical conserved gene., Conserved hypothetical protein. ",,,
Os12g0438600,Similar to chloride channel protein.,"Biological Process: chloride transport (GO:0006821), Biological Process: transmembrane transport (GO:0055085), Cellular Component: membrane (GO:0016020), Molecular Function: ion channel activity (GO:0005216), Molecular Function: voltage-gated chloride channel activity (GO:0005247)",,
Os12g0441700,Conserved hypothetical protein.,,,
Os12g0442800,Similar to Sulfite oxidase (EC 1.8.3.1) (Moco containig protein AtMCP) (At-SO) (AtSOX).,"Biological Process: oxidation-reduction process (GO:0055114), Molecular Function: binding (GO:0005488), Molecular Function: electron carrier activity (GO:0009055), Molecular Function: oxidoreductase activity (GO:0016491), Molecular Function: molybdenum ion binding (GO:0030151), Molecular Function: metal ion binding (GO:0046872)",,
Os12g0442900,DNA-binding SAP domain containing protein.,Molecular Function: nucleic acid binding (GO:0003676),,
Os12g0443500,Similar to UDP-glucose 6-dehydrogenase (EC 1.1.1.22) (UDP-Glc dehydrogenase) (UDP-GlcDH) (UDPGDH).,"Biological Process: oxidation-reduction process (GO:0055114), Molecular Function: nucleotide binding (GO:0000166), Molecular Function: oxidoreductase activity (GO:0016491), Molecular Function: oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor (GO:0016616), Molecular Function: NAD binding (GO:0051287)",,
Os12g0443600 ,Similar to UDP-glucose 6-dehydrogenase (EC 1.1.1.22) (UDP-Glc dehydrogenase) (UDP-GlcDH) (UDPGDH). ,"Biological Process: oxidation-reduction process (GO:0055114), Molecular Function: nucleotide binding (GO:0000166), Molecular Function: oxidoreductase activity (GO:0016491), Molecular Function: oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor (GO:0016616), Molecular Function: NAD binding (GO:0051287)",,
Os12g0443800 ,"Hypothetical conserved gene., Similar to ATP binding / ATPase/ nucleoside-triphosphatase/ nucleotide binding., AAA-ATPase, Regulation of male meiosis and anther development ",", Molecular Function: ATP binding (GO:0005524)",,
Os12g0446500,Peptidase M24 family protein.,Biological Process: cellular process (GO:0009987),,
Os12g0446900,Similar to bifunctional dihydrofolate reductase-thymidylate synthase.,"Biological Process: dTMP biosynthetic process (GO:0006231), Biological Process: glycine biosynthetic process (GO:0006545), Biological Process: one-carbon metabolic process (GO:0006730), Biological Process: nucleotide biosynthetic process (GO:0009165), Biological Process: oxidation-reduction process (GO:0055114), Molecular Function: dihydrofolate reductase activity (GO:0004146), Molecular Function: thymidylate synthase activity (GO:0004799), Molecular Function: oxidoreductase activity (GO:0016491)",,
Os12g0448900,"Fatty acid alpha-dioxygenase family, Enzyme that oxygenates fatty acids into 2R-hydroperoxides","Biological Process: response to oxidative stress (GO:0006979), Biological Process: oxidation-reduction process (GO:0055114), Molecular Function: peroxidase activity (GO:0004601), Molecular Function: heme binding (GO:0020037)",,
Os12g0450500,Hypothetical conserved gene.,,,
Os12g0454800,"Receptor-like serine/threonine kinase, Cytokinin signaling","Biological Process: protein phosphorylation (GO:0006468), Molecular Function: protein kinase activity (GO:0004672), Molecular Function: protein serine/threonine kinase activity (GO:0004674), Molecular Function: protein tyrosine kinase activity (GO:0004713), Molecular Function: ATP binding (GO:0005524), Molecular Function: transferase activity, transferring phosphorus-containing groups (GO:0016772)",,
Os12g0455000,"Proteinase inhibitor I1, Kazal domain containing protein.",Molecular Function: protein binding (GO:0005515),,
Os12g0456200,"Heat shock cognate protein B, C-terminal oligomerisation domain containing protein.","Biological Process: protein folding (GO:0006457), Molecular Function: heat shock protein binding (GO:0031072), Molecular Function: chaperone binding (GO:0051087)",,
Os12g0459100,Similar to Transferase family protein.,"Molecular Function: transferase activity, transferring acyl groups other than amino-acyl groups (GO:0016747)",,
Os12g0459300 ,"Nucleic acid-binding, OB-fold domain containing protein., Hypothetical gene. ",,,
Os12g0464400,"Similar to Oxidoreductase, short chain dehydrogenase/reductase family protein, expressed.","Biological Process: metabolic process (GO:0008152), Molecular Function: nucleotide binding (GO:0000166), Molecular Function: oxidoreductase activity (GO:0016491)",,
Os12g0466200,Conserved hypothetical protein.,,,
Os12g0470700,"ATPase, AAA-type, core domain containing protein.","Molecular Function: nucleotide binding (GO:0000166), Molecular Function: ATP binding (GO:0005524), Molecular Function: nucleoside-triphosphatase activity (GO:0017111)",,
Os12g0472366,Hypothetical protein.,,,
Os12g0476200,"Sucrose transporter, TAL effector PthXo2-dependent disease susceptibility to bacterial pathogen",Cellular Component: integral component of membrane (GO:0016021),,
Os12g0477400,No apical meristem (NAM) protein domain containing protein.,"Biological Process: regulation of transcription, DNA-dependent (GO:0006355), Molecular Function: DNA binding (GO:0003677)",,
Os12g0477700,Conserved hypothetical protein.,,,
Os12g0478200 ,"Hypothetical protein., GRAM domain containing protein. ",,,
Os12g0478400,EGF-type aspartate/asparagine hydroxylation site domain containing protein.,"Molecular Function: calcium ion binding (GO:0005509), Molecular Function: protein binding (GO:0005515)",,
Os12g0480200,Similar to H0321H01.14 protein.,"Biological Process: protein phosphorylation (GO:0006468), Molecular Function: protein kinase activity (GO:0004672), Molecular Function: protein serine/threonine kinase activity (GO:0004674), Molecular Function: protein tyrosine kinase activity (GO:0004713), Molecular Function: ATP binding (GO:0005524), Molecular Function: transferase activity, transferring phosphorus-containing groups (GO:0016772)",,
Os12g0481100,"Similar to cDNA clone:J033010C22, full insert sequence.","Molecular Function: nucleic acid binding (GO:0003676), Molecular Function: helicase activity (GO:0004386), Molecular Function: ATP binding (GO:0005524), Molecular Function: ATP-dependent helicase activity (GO:0008026)",,
Os12g0482500,Protein of unknown function DUF593 domain containing protein.,,,
Os12g0482700 ,Similar to L-galactose dehydrogenase. ,,,
Os12g0484600 ,"Nodule-specific protein-like., Nodulin-like domain containing protein. ",,,
Os12g0484700,Similar to Yippee-like protein CG15309.,,,
Os12g0484900,Similar to Growth-regulating factor 7.,"Biological Process: regulation of transcription, DNA-dependent (GO:0006355), Cellular Component: nucleus (GO:0005634), Molecular Function: protein binding (GO:0005515), Molecular Function: ATP binding (GO:0005524), Molecular Function: hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides (GO:0016818)",,
Os12g0485000 ,"Similar to O-sialoglycoprotein endopeptidase., Peptidase M22, glycoprotease domain containing protein. ","Biological Process: proteolysis (GO:0006508), Molecular Function: metalloendopeptidase activity (GO:0004222)",,
Os12g0485300,Non-protein coding transcript.,,,
Os12g0485500,Similar to HesB/YadR/YfhF family protein.,"Biological Process: iron-sulfur cluster assembly (GO:0016226), Molecular Function: structural molecule activity (GO:0005198), Molecular Function: iron-sulfur cluster binding (GO:0051536)",,
